Business Name,Business Category,Address,Contact
Prince Hardware,Hardware store,"PC College Sadhu Baba, Buxar - Itarhi Rd, near PC College Sadhu Baba",082523 53417
bhawani Saintery And Hardware Store,Hardware store,"Pipe Dukan, Rajput Road",091628 25605
Sujeet Hardware,Hardware store,Natwar,093349 95032
Niraj Hardware,Hardware store,"Nai bazar, Road, near Pnb bank infront of Madhu dressesdreess",076548 90805
Om Sai Almunium,Hardware store,Buxar Nayi Bazar Bihar,062009 22539
M.V Traders,Hardware store,Vishwamitra Colony,098352 20258
V.P RAI,Hardware store,"Natwar, Golambar - Jaso Rd",089870 48668
Jai Bhawani ply,Hardware store,"HXGM+F62 mahbir mandir, Main road",091101 72331
Manoj Kumar Verma,Hardware store,Natwar,095252 61817
KGN Steel,Hardware store,Natwar,080844 74562
SHIV JEE HARDWARE,Hardware store,H44W+8JG,079031 31842
Jai Bajrang,Hardware store,Mohania - Buxar Rd,082929 30072
Shahid Mahant Singh Building Materials,Hardware store,Orapkurd Main Buxar,086519 71267
Sajid Welding Work,Hardware store,"Shop No 95, near Main Market",082527 03557
Vishal Medical Store,Pharmacy,"Churaman Pur, Buxar NH-84, Arrah, Arrah - Buxar Rd",087570 66425
Mitra medical hall | Medical in Buxar,Drug store,HX33+J75,081768 70792
SEHAT MEDICO,Pharmacy,Bandh Rd,079090 56631
Shakti Homeo Pharma,Homeopathic pharmacy,opposite Vishal mega Mart,094728 13049
Suraj Medical Hall,Pharmacy,"HXGJ+CCQ, Maccharhatta, Pull Main Road",094310 83838
GREEN MEDICINE,Drug store,"Ambedkar chowk, near shyam vatika",070043 22809
Balaji Drugs,Drug store,"Main road, Golambar - Jaso Rd",099553 35409
Tanya Medical Hall,Pharmacy,"near, old rice mill mbgb bank, Buxar - Itarhi Rd",089368 00705
KALYAN HOMOEO BHAWAN,Homeopathic pharmacy,Buxar - Itarhi Rd,094310 58780
Saraswati Homoeo,Homeopathic pharmacy,Collectorate Road,082104 38082
Homeopathic clinic,Homeopathic pharmacy,"Amla Toli, near UCO BANK",099318 37213
Om Sai Medical Hall,Pharmacy,HXHH+QPV,073710 23763
URMILA MEDICAL HALL,Pharmacy,"HXJJ+534, Buxar Hospital Rd",094310 99447
Ashish Medical Hall,Medical supply store,Collectraite Rd Buxar,099399 10386
Guru Kripa Medical,Pharmacy,Golamber Golamber Arrah,095234 31475
Hamdard dawa Dukan,Medical clinic,"111, SH 13",082718 44150
Aradhana Medical Store,Pharmacy,"Shop No 01, Baliya Road, near Hanuman Mandir",091698 58126
Saudagar medical agency,Pharmacy,HXGM+CVM,082527 66006
Janta Medical Store,Pharmacy,SH 13,079090 16484
Kartik Medical,Pharmacy,Road,082105 71096
Lilavati Health Care Medical Store,Medical Center,"jail pain road, near Station Road",091134 85881
New Gupta Medico,Pharmacy,"HXFH+R5C, Hanuman fatak",078703 73981
OM HOMOEO SEWA KENDRA or OM MEDICAL HALL(Dr.omprakash pandey),Pharmacy,Buxar - Chausa - Sasaram Rd,097713 35070
Sanjeevani Medical Hall,Pharmacy,Natwar,095257 55888
Pankaj Pharma,Medical supply store,HXHJ+P4Q,074881 83773
KRITI MEDICAL AGENCY,Medical supply store,"Buxar - Itarhi Rd, in front of Nokha Mill",075430 90605
New Bharat Medical Store,Pharmacy,"Shop No 01, Road, near Bharat Medical",099312 97166
Pawan Medical Store,Doctor,Shop No 01,095174 51717
Lalan ji medical hall (pet shop),Veterinary pharmacy,"Amla Toli Main Road, opp. to bata shoe",093081 95331
Kanchan Singh Medical,Health and beauty shop,"Suman Jee Bhawan, 20, Ganga Bridge",077669 47964
Sadguru Medical Store,Pharmacy,"Shop No 01, near Sabji Mandi",070842 75764
J P Medical Store,Pharmacy,"103 Dafadihari, Lakh Road, near Middile School",097987 24779
Arogy Homeo,Medical clinic,"me Mathiya, Badka Nuvaon raste, Mod",077630 01060
MAA VINDVAHSHNI MEDICAL HALL,Pharmacy,Natwar,077619 62486
Vikas Medical,Pharmacy,"Dumraon, Buxar, NH-84, Dumraon Bikamganj Road, Buxar",088733 21370
Ajay Medical Store Mane Road Chausa Bajar Buxar,Pharmacy,Mane Road,099395 92371
Aryan Medical,Pharmacy,"101, near Masjid",083401 20396
Life care pathology,Diagnostic center,Jyoti Prakash Chowk,091100 27339
"Lenskart.com at Buxar, Bihar",Optician,"Main, Road Chowk, near Reliance Trends",089293 34374
Super Shakti Furniture,Furniture store,"Super Shakti Furniture, Ambedkar Chowk, Station Rd, near Baba Saheb Ambedkar Statue",093326 49501
Godrej Interio - Jaiswal Agencies,Furniture store,"SATYADEOGANJ, MAIN ROAD 1st Floor, beside Reliance Trends",072503 46666
RAJA FURNITURE,Shop supermarket furniture store,"PP Rd, near icici bank",095072 38099
Aryan Furniture,Furniture store,"HXHQ+4G6, Truck Syndicate, Main Road",098013 50256
Rohit Steel Furniture,Mattress store,"State Bank of India, Chowk Road",099343 79674
Manthan handicrafts,Furniture store,"road, near shiv mandir",075410 82737
Diamond Furniture,Furniture wholesaler,"Diamond Furniture, Piparpatti Road, near Central bank of India",081154 60331
malhotra farniture,Mattress store,"Bazar Samiti, Bazar Samiti Road Near Nehru Smarak High School, Buxar 803103, Musafirganj Rd",091991 86777
Ashish Ply,Furniture store,"Natwar, Golambar - Jaso Rd",072091 07061
Nagendra Sharma & Sons,Furniture store,"Na, PP Rd",083403 30141
"Sleepwell Exclusive Dealer - Koirpurwa, Buxar",Mattress store,"Punam Enterprises, nearby Vishwamitra Hospital",08071 629 638
Taj Furniture And Electronic,Furniture store,"Shop No 01, Taj Furniture And Electronic Kotwanarayanpur",096963 48280
JSN CITY CENTRAL MALL,Shopping mall,"HX7H+XFF, Ambedkar Chowk",074795 10027
Vishal Kumar,Furniture store,Mohania Mohania,085418 46631
मुन्ना शर्मा फर्नीचर,Furniture store,"HX76+JWX, Central Jail Rd",062997 44534
Raj Furniture House,Furniture store,Station Rd,062075 98670
Alimuniun Store,Furniture store,Natwar,091137 82827
"Sleepwell Gallery - Koirpurwa, Buxar",Mattress store,"Furniture House, New, South Collectriate Road, nearby DPO Office",08071 629 254
Shri Hanuman Furniture,Furniture store,"Hospital Road, near Petrol Pump",095256 07100
Dharmendra Furniture,Furniture store,"101, Safakhana Rd, near Kabadi",062032 83617
Pandeet Jee Loha Dukan,Mattress store,"Jyoti Prakash Bhawan, 22, PP Rd",084093 75784
Uday Aluminum,Furniture store,"Uday Bhawan, 50, Buxar Road",085818 17184
ANAND TILES BUXAR,Tile store,"Collectraite Rd Buxar, near indian bank",091554 87551
Maa Vaishno Furniture,Furniture maker,"Vishwamitra hospital, Golmber, main road",070916 26239
